date,product_name,quantity,type_movement
2015-12-13,Banane,457,import
2015-12-13,Letchi,-358,export
2015-12-16,Tomate,499,import
2015-12-16,Lait,399,import
2015-12-17,Banane,628,import
2015-12-17,Letchi,695,import
2015-12-17,Ananas,589,import
2015-12-17,Letchi,237,import
2015-12-18,Letchi,-344,export
2015-12-18,Ananas,700,import
2015-12-18,Tomate,538,import
2015-12-20,Lait,-1,loss
2015-12-20,Lait,224,import
2015-12-22,Ananas,556,import
2015-12-22,Tomate,295,import
2015-12-22,Lait,572,import
2015-12-23,Ananas,-293,export
2015-12-23,Ananas,314,import
2015-12-24,Poivron,-21,loss
2015-12-24,Lait,-622,export
2015-12-24,Poivron,2,adjustment
2015-12-25,Banane,-672,export
2015-12-26,Banane,-555,export
2015-12-27,Lait,545,import
2015-12-27,Letchi,606,import
2015-12-27,Letchi,495,import
2015-12-27,Lait,440,import
2015-12-27,Poivron,-454,export
2015-12-27,Ananas,-22,loss
2015-12-28,Letchi,-297,export
2015-12-29,Poivron,-470,export
2015-12-29,Lait,-681,export
2015-12-30,Letchi,507,import
2015-12-31,Ananas,-628,export
2015-12-31,Tomate,447,import
2015-12-31,Banane,-691,export
2016-01-01,Ananas,-423,export
2016-01-01,Tomate,576,import
2016-01-01,Ananas,17,adjustment
2016-01-02,Ananas,-414,export
2016-01-04,Ananas,-449,export
2016-01-04,Lait,656,import
2016-01-04,Tomate,-325,export
2016-01-05,Poivron,-318,export
2016-01-07,Lait,-556,export
2016-01-07,Ananas,405,import
2016-01-09,Tomate,312,import
2016-01-09,Ananas,438,import
2016-01-09,Banane,449,import
2016-01-10,Poivron,557,import
2016-01-10,Lait,658,import
2016-01-10,Ananas,563,import
2016-01-10,Lait,-425,export
2016-01-10,Lait,410,import
2016-01-11,Poivron,-396,export
2016-01-12,Ananas,686,import
2016-01-12,Tomate,30,adjustment
2016-01-14,Tomate,579,import
2016-01-14,Banane,-558,export
2016-01-14,Tomate,622,import
2016-01-15,Poivron,-309,export
2016-01-15,Tomate,-500,export
2016-01-17,Poivron,235,import
2016-01-17,Tomate,365,import
2016-01-19,Ananas,-623,export
2016-01-19,Poivron,349,import
2016-01-20,Lait,594,import
2016-01-20,Tomate,629,import
2016-01-21,Poivron,535,import
2016-01-22,Tomate,633,import
2016-01-22,Banane,-291,export
2016-01-23,Lait,631,import
2016-01-24,Poivron,-477,export
2016-01-25,Banane,-436,export
2016-01-26,Banane,492,import
2016-01-26,Banane,371,import
2016-01-26,Ananas,627,import
2016-01-27,Tomate,30,adjustment
2016-01-28,Ananas,616,import
2016-01-28,Tomate,275,import
2016-01-28,Banane,439,import
2016-01-28,Ananas,335,import
2016-01-28,Ananas,678,import
2016-01-29,Lait,-695,export
2016-01-30,Tomate,-255,export
2016-01-30,Lait,260,import
2016-02-01,Tomate,444,import
2016-02-01,Banane,385,import
2016-02-02,Lait,612,import
2016-02-03,Ananas,-394,export
2016-02-04,Lait,-448,export
2016-02-06,Poivron,625,import
2016-02-06,Courgette,384,import
2016-02-07,Banane,345,import
2016-02-08,Banane,-1,adjustment
2016-02-08,Banane,251,import
2016-02-08,Lait,463,import
2016-02-09,Tomate,569,import
2016-02-10,Banane,28,adjustment
2016-02-10,Poivron,311,import
2016-02-11,Tomate,204,import
2016-02-11,Poivron,-259,export
2016-02-12,Banane,-629,export
2016-02-12,Tomate,383,import
2016-02-13,Courgette,-675,export
2016-02-13,Tomate,497,import
2016-02-17,Banane,252,import
2016-02-20,Poivron,364,import
2016-02-20,Courgette,-577,export
2016-02-20,Poivron,272,import
2016-02-21,Banane,593,import
2016-02-22,Lait,332,import
2016-02-22,Poivron,-312,export
2016-02-23,Banane,-658,export
2016-02-23,Poivron,-500,export
2016-02-23,Lait,-17,adjustment
2016-02-24,Ananas,243,import
2016-02-25,Courgette,-610,export
2016-02-25,Courgette,326,import
2016-02-26,Banane,-462,export
2016-02-26,Courgette,521,import
2016-02-27,Poivron,-528,export
2016-02-27,Banane,-1,adjustment
2016-02-28,Tomate,531,import
2016-02-28,Lait,-17,loss
2016-02-29,Lait,379,import
2016-02-29,Tomate,-26,adjustment
2016-02-29,Courgette,-381,export
2016-02-29,Tomate,-558,export
2016-02-29,Tomate,-320,export
2016-02-29,Poivron,651,import
2016-03-01,Lait,-232,export
2016-03-01,Banane,207,import
2016-03-02,Courgette,-680,export
2016-03-02,Pomme,-550,export
2016-03-02,Courgette,546,import
2016-03-02,Lait,544,import
2016-03-03,Lait,384,import
2016-03-03,Banane,-294,export
2016-03-04,Lait,212,import
2016-03-04,Courgette,270,import
2016-03-05,Pomme,336,import
2016-03-06,Courgette,639,import
2016-03-10,Pomme,560,import
2016-03-10,Lait,41,adjustment
2016-03-11,Banane,-417,export
2016-03-11,Banane,565,import
2016-03-12,Courgette,-434,export
2016-03-14,Lait,596,import
2016-03-17,Banane,652,import
2016-03-19,Courgette,637,import
2016-03-21,Banane,-607,export
2016-03-22,Courgette,343,import
2016-03-22,Banane,617,import
2016-03-22,Lait,-436,export
2016-03-23,Banane,416,import
2016-03-24,Banane,383,import
2016-03-24,Banane,667,import
2016-03-24,Lait,274,import
2016-03-25,Courgette,356,import
2016-03-26,Banane,-432,export
2016-03-27,Courgette,320,import
2016-03-27,Banane,464,import
2016-03-28,Banane,672,import
2016-03-28,Banane,558,import
2016-03-30,Lait,569,import
2016-04-01,Courgette,241,import
2016-04-01,Lait,660,import
2016-04-01,Courgette,-433,export
2016-04-04,Courgette,669,import
2016-04-05,Courgette,426,import
2016-04-07,Courgette,588,import
2016-04-08,Courgette,-674,export
2016-04-09,Lait,-434,export
2016-04-10,Courgette,13,adjustment
2016-04-11,Courgette,609,import
2016-04-11,Pomme,306,import
2016-04-11,Banane,544,import
2016-04-14,Banane,-647,export
2016-04-15,Pomme,310,import
2016-04-16,Courgette,432,import
2016-04-16,Lait,423,import
2016-04-16,Lait,249,import
2016-04-17,Banane,-623,export
2016-04-17,Courgette,489,import
2016-04-17,Courgette,-261,export
2016-04-17,Lait,674,import
2016-04-17,Courgette,288,import
2016-04-19,Lait,494,import
2016-04-20,Lait,-500,export
2016-04-21,Courgette,-664,export
2016-04-22,Banane,434,import
2016-04-23,Pomme,652,import
2016-04-23,Banane,-492,export
2016-04-23,Courgette,700,import
2016-04-24,Pomme,554,import
2016-04-26,Lait,-27,adjustment
2016-04-26,Lait,598,import
2016-04-26,Pomme,-684,export
2016-04-26,Courgette,322,import
2016-04-28,Courgette,-457,export
2016-04-28,Courgette,565,import
2016-04-29,Courgette,-562,export
2016-04-29,Courgette,-442,export
2016-04-29,Lait,-603,export
2016-05-01,Banane,-669,export
2016-05-01,Lait,-554,export
2016-05-03,Courgette,225,import
2016-05-04,Lait,388,import
2016-05-04,Banane,-26,loss
2016-05-05,Carotte,622,import
2016-05-05,Pomme,514,import
2016-05-06,Pomme,695,import
2016-05-07,Courgette,683,import
2016-05-08,Banane,507,import
2016-05-08,Banane,-473,export
2016-05-09,Pomme,426,import
2016-05-09,Lait,-1,loss
2016-05-09,Courgette,413,import
2016-05-10,Carotte,683,import
2016-05-10,Lait,-594,export
2016-05-11,Lait,-618,export
2016-05-11,Carotte,-363,export
2016-05-12,Carotte,-588,export
2016-05-14,Banane,-590,export
2016-05-15,Pomme,522,import
2016-05-15,Pomme,390,import
2016-05-16,Banane,-536,export
2016-05-17,Lait,353,import
2016-05-17,Courgette,-271,export
2016-05-19,Banane,334,import
2016-05-19,Pomme,-644,export
2016-05-19,Courgette,699,import
2016-05-19,Carotte,503,import
2016-05-20,Banane,-7,adjustment
2016-05-21,Pomme,-394,export
2016-05-21,Pomme,422,import
2016-05-22,Banane,-621,export
2016-05-22,Courgette,212,import
2016-05-22,Lait,36,adjustment
2016-05-23,Carotte,-325,export
2016-05-23,Lait,408,import
2016-05-23,Lait,-291,export
2016-05-23,Carotte,-615,export
2016-05-24,Lait,58,adjustment
2016-05-26,Pomme,-278,export
2016-05-29,Courgette,327,import
2016-05-29,Carotte,538,import
2016-05-29,Lait,-4,loss
2016-05-30,Banane,548,import
2016-06-02,Carotte,373,import
2016-06-02,Pomme,489,import
2016-06-05,Carotte,474,import
2016-06-05,Lait,-358,export
2016-06-06,Carotte,687,import
2016-06-06,Lait,641,import
2016-06-07,Pomme,-262,export
2016-06-07,Pomme,534,import
2016-06-08,Banane,467,import
2016-06-08,Carotte,568,import
2016-06-09,Lait,-452,export
2016-06-09,Carotte,360,import
2016-06-10,Carotte,367,import
2016-06-11,Pomme,19,adjustment
2016-06-12,Lait,358,import
2016-06-12,Lait,-312,export
2016-06-13,Lait,454,import
2016-06-14,Pomme,-462,export
2016-06-14,Pomme,367,import
2016-06-14,Banane,-617,export
2016-06-15,Lait,418,import
2016-06-15,Lait,508,import
2016-06-15,Banane,-402,export
2016-06-15,Banane,-242,export
2016-06-16,Pomme,603,import
2016-06-18,Banane,59,adjustment
2016-06-18,Lait,573,import
2016-06-18,Pomme,348,import
2016-06-18,Lait,689,import
2016-06-19,Banane,42,adjustment
2016-06-19,Lait,290,import
2016-06-20,Carotte,70,adjustment
2016-06-23,Lait,-202,export
2016-06-23,Banane,-440,export
2016-06-23,Banane,283,import
2016-06-24,Banane,-626,export
2016-06-26,Lait,12,adjustment
2016-06-26,Banane,271,import
2016-06-26,Banane,-660,export
2016-06-28,Carotte,543,import
2016-06-28,Lait,602,import
2016-06-29,Lait,-490,export
2016-06-29,Banane,692,import
2016-07-03,Lait,684,import
2016-07-04,Banane,-230,export
2016-07-04,Banane,582,import
2016-07-04,Banane,424,import
2016-07-07,Lait,-455,export
2016-07-07,Carotte,-30,adjustment
2016-07-08,Lait,450,import
2016-07-10,Carotte,311,import
2016-07-12,Banane,368,import
2016-07-12,Carotte,-466,export
2016-07-14,Carotte,459,import
2016-07-14,Carotte,-621,export
2016-07-16,Lait,-248,export
2016-07-16,Banane,580,import
2016-07-16,Lait,289,import
2016-07-17,Banane,36,adjustment
2016-07-17,Carotte,-6,loss
2016-07-18,Banane,-254,export
2016-07-23,Banane,478,import
2016-07-25,Lait,-567,export
2016-07-25,Banane,314,import
2016-07-26,Carotte,648,import
2016-07-26,Lait,-484,export
2016-07-29,Lait,-700,export
2016-07-30,Banane,68,adjustment
2016-07-31,Carotte,522,import
2016-07-31,Banane,-641,export
2016-08-01,Carotte,-382,export
2016-08-02,Lait,391,import
2016-08-02,Banane,387,import
2016-08-03,Banane,571,import
2016-08-03,Carotte,-242,export
2016-08-04,Banane,503,import
2016-08-05,Banane,-498,export
2016-08-05,Carotte,278,import
2016-08-06,Carotte,333,import
2016-08-06,Carotte,246,import
2016-08-07,Carotte,-215,export
2016-08-10,Carotte,512,import
2016-08-10,Carotte,368,import
2016-08-11,Carotte,-478,export
2016-08-11,Lait,514,import
2016-08-11,Lait,56,adjustment
2016-08-14,Lait,406,import
2016-08-17,Lait,-313,export
2016-08-17,Banane,572,import
2016-08-21,Carotte,238,import
2016-08-23,Lait,-555,export
2016-08-23,Carotte,-572,export
2016-08-23,Banane,381,import
2016-08-25,Banane,421,import
2016-08-26,Carotte,497,import
2016-08-30,Lait,557,import
2016-08-31,Banane,259,import
2016-09-02,Tomate,413,import
2016-09-03,Tomate,-331,export
2016-09-04,Banane,-450,export
2016-09-05,Carotte,-318,export
2016-09-05,Carotte,431,import
2016-09-07,Banane,-601,export
2016-09-07,Carotte,250,import
2016-09-08,Carotte,325,import
2016-09-08,Carotte,-678,export
2016-09-09,Banane,614,import
2016-09-09,Carotte,-419,export
2016-09-09,Tomate,29,adjustment
2016-09-10,Carotte,-584,export
2016-09-11,Carotte,-678,export
2016-09-15,Banane,-4,loss
2016-09-16,Tomate,-653,export
2016-09-18,Tomate,-511,export
2016-09-20,Lait,22,adjustment
2016-09-20,Lait,-612,export
2016-09-21,Banane,-3,loss
2016-09-22,Carotte,314,import
2016-09-22,Banane,-523,export
2016-09-22,Tomate,-276,export
2016-09-22,Banane,238,import
2016-09-22,Banane,-683,export
2016-09-22,Lait,690,import
2016-09-22,Banane,364,import
2016-09-23,Lait,612,import
2016-09-23,Banane,-549,export
2016-09-24,Lait,-229,export
2016-09-25,Banane,-499,export
2016-09-26,Carotte,498,import
2016-09-27,Carotte,-19,adjustment
2016-09-30,Banane,426,import
2016-10-02,Tomate,-313,export
2016-10-04,Lait,560,import
2016-10-06,Lait,681,import
2016-10-06,Poivron,656,import
2016-10-06,Banane,-318,export
2016-10-07,Lait,527,import
2016-10-07,Poivron,326,import
2016-10-09,Tomate,692,import
2016-10-10,Tomate,624,import
2016-10-11,Tomate,559,import
2016-10-12,Lait,516,import
2016-10-16,Banane,418,import
2016-10-17,Lait,-660,export
2016-10-18,Banane,439,import
2016-10-18,Banane,436,import
2016-10-20,Banane,240,import
2016-10-21,Lait,331,import
2016-10-22,Tomate,-338,export
2016-10-22,Poivron,409,import
2016-10-22,Lait,420,import
2016-10-23,Poivron,-564,export
2016-10-23,Banane,356,import
2016-10-23,Lait,239,import
2016-10-23,Banane,324,import
2016-10-23,Poivron,506,import
2016-10-23,Poivron,-13,adjustment
2016-10-25,Poivron,456,import
2016-10-25,Tomate,-435,export
2016-10-25,Banane,-514,export
2016-10-28,Lait,-19,loss
2016-10-28,Poivron,438,import
2016-10-28,Tomate,319,import
2016-10-29,Lait,664,import
2016-10-29,Lait,515,import
2016-10-29,Tomate,375,import
2016-10-31,Poivron,-20,loss
2016-11-01,Letchi,465,import
2016-11-02,Lait,638,import
2016-11-03,Poivron,-569,export
2016-11-04,Lait,-634,export
2016-11-05,Tomate,358,import
2016-11-05,Tomate,67,adjustment
2016-11-05,Lait,-20,loss
2016-11-06,Lait,650,import
2016-11-06,Tomate,338,import
2016-11-10,Poivron,573,import
2016-11-11,Poivron,-398,export
2016-11-11,Letchi,226,import
2016-11-11,Lait,-245,export
2016-11-12,Letchi,390,import
2016-11-13,Banane,413,import
2016-11-13,Lait,633,import
2016-11-14,Poivron,203,import
2016-11-14,Tomate,647,import
2016-11-17,Letchi,-694,export
2016-11-18,Poivron,-686,export
2016-11-19,Letchi,369,import
2016-11-19,Banane,-327,export
2016-11-20,Banane,-600,export
2016-11-20,Poivron,-451,export
2016-11-21,Tomate,579,import
2016-11-21,Letchi,610,import
2016-11-23,Letchi,430,import
2016-11-26,Poivron,-304,export
2016-11-26,Poivron,423,import
2016-11-27,Banane,-342,export
2016-11-27,Lait,-373,export
2016-11-27,Letchi,405,import
2016-11-28,Letchi,46,adjustment
2016-11-29,Letchi,-284,export
2016-11-30,Lait,594,import
2016-11-30,Poivron,434,import
2016-12-01,Letchi,675,import
2016-12-02,Letchi,649,import
2016-12-02,Letchi,344,import
2016-12-02,Letchi,246,import
2016-12-02,Ananas,-223,export
2016-12-03,Letchi,399,import
2016-12-03,Ananas,-357,export
2016-12-05,Lait,-279,export
2016-12-06,Poivron,243,import
2016-12-06,Banane,-362,export
2016-12-07,Lait,-16,loss
2016-12-07,Tomate,-543,export
2016-12-08,Poivron,563,import
2016-12-08,Lait,398,import
2016-12-08,Poivron,-698,export
2016-12-08,Lait,370,import
2016-12-09,Banane,-229,export
2016-12-09,Ananas,-329,export
2016-12-10,Tomate,-508,export
2016-12-10,Letchi,-386,export
2016-12-11,Banane,610,import
2016-12-12,Tomate,-272,export
2016-12-13,Banane,526,import
2016-12-13,Banane,378,import
2016-12-14,Ananas,678,import
2016-12-15,Lait,386,import
2016-12-16,Letchi,425,import
2016-12-16,Letchi,-684,export
2016-12-17,Poivron,425,import
2016-12-17,Letchi,-455,export
2016-12-17,Tomate,279,import
2016-12-18,Poivron,-298,export
2016-12-18,Lait,-497,export
2016-12-18,Letchi,269,import
2016-12-18,Tomate,-290,export
2016-12-19,Ananas,-426,export
2016-12-19,Banane,207,import
2016-12-19,Lait,-492,export
2016-12-20,Tomate,472,import
2016-12-21,Letchi,663,import
2016-12-21,Letchi,-214,export
2016-12-22,Poivron,-21,adjustment
2016-12-22,Lait,-221,export
2016-12-23,Banane,532,import
2016-12-23,Banane,227,import
2016-12-24,Lait,-224,export
2016-12-24,Lait,421,import
2016-12-24,Banane,446,import
2016-12-24,Poivron,-367,export
2016-12-25,Letchi,498,import
2016-12-26,Banane,563,import
2016-12-26,Ananas,670,import
2016-12-26,Ananas,-7,loss
2016-12-27,Banane,206,import
2016-12-27,Poivron,664,import
2016-12-27,Poivron,468,import
2016-12-28,Tomate,-700,export
2016-12-28,Letchi,-669,export
2016-12-29,Letchi,-605,export
2016-12-30,Banane,280,import
2016-12-30,Lait,282,import
2016-12-30,Tomate,-4,adjustment
2016-12-30,Poivron,-22,loss
2016-12-30,Letchi,-269,export
2016-12-31,Banane,672,import
2017-01-01,Ananas,669,import
2017-01-02,Lait,297,import
2017-01-04,Poivron,555,import
2017-01-04,Poivron,370,import
2017-01-05,Tomate,660,import
2017-01-05,Lait,-529,export
2017-01-05,Poivron,-286,export
2017-01-06,Lait,403,import
2017-01-07,Banane,-318,export
2017-01-07,Banane,580,import
2017-01-07,Poivron,444,import
2017-01-08,Lait,-562,export
2017-01-09,Tomate,291,import
2017-01-10,Lait,374,import
2017-01-11,Lait,-696,export
2017-01-12,Ananas,604,import
2017-01-13,Poivron,-488,export
2017-01-14,Banane,-25,loss
2017-01-14,Poivron,-210,export
2017-01-14,Lait,-638,export
2017-01-16,Tomate,409,import
2017-01-17,Lait,646,import
2017-01-17,Poivron,380,import
2017-01-19,Ananas,-250,export
2017-01-20,Poivron,-427,export
2017-01-21,Poivron,259,import
2017-01-22,Banane,309,import
2017-01-23,Poivron,511,import
2017-01-23,Poivron,388,import
2017-01-25,Tomate,236,import
2017-01-28,Tomate,-13,loss
2017-01-28,Poivron,386,import
2017-01-28,Ananas,239,import
2017-01-28,Poivron,-447,export
2017-01-29,Lait,519,import
2017-01-30,Ananas,10,adjustment
2017-01-31,Ananas,-303,export
2017-01-31,Lait,678,import
2017-02-01,Ananas,-12,loss
2017-02-01,Ananas,386,import
2017-02-01,Lait,574,import
2017-02-01,Ananas,580,import
2017-02-02,Lait,686,import
2017-02-02,Poivron,485,import
2017-02-03,Tomate,60,adjustment
2017-02-03,Banane,347,import
2017-02-03,Tomate,464,import
2017-02-03,Banane,-214,export
2017-02-04,Ananas,670,import
2017-02-04,Lait,554,import
2017-02-04,Poivron,632,import
2017-02-05,Poivron,364,import
2017-02-06,Poivron,601,import
2017-02-07,Tomate,368,import
2017-02-08,Ananas,-432,export
2017-02-08,Courgette,261,import
2017-02-08,Poivron,369,import
2017-02-08,Ananas,-291,export
2017-02-08,Lait,-306,export
2017-02-10,Ananas,238,import
2017-02-10,Banane,-674,export
2017-02-11,Tomate,-204,export
2017-02-12,Banane,-349,export
2017-02-12,Courgette,-214,export
2017-02-14,Poivron,-525,export
2017-02-15,Courgette,-505,export
2017-02-15,Poivron,466,import
2017-02-15,Lait,-214,export
2017-02-16,Poivron,307,import
2017-02-17,Tomate,62,adjustment
2017-02-17,Tomate,380,import
2017-02-17,Courgette,-13,adjustment
2017-02-18,Tomate,-234,export
2017-02-18,Ananas,347,import
2017-02-18,Lait,-307,export
2017-02-18,Banane,-653,export
2017-02-18,Tomate,481,import
2017-02-19,Tomate,-228,export
2017-02-21,Courgette,369,import
2017-02-21,Banane,-433,export
2017-02-22,Ananas,363,import
2017-02-22,Poivron,563,import
2017-02-22,Poivron,-531,export
2017-02-24,Lait,-596,export
2017-02-24,Poivron,604,import
2017-02-25,Poivron,-235,export
2017-02-25,Poivron,225,import
2017-02-25,Poivron,570,import
2017-02-25,Poivron,-226,export
2017-02-26,Poivron,525,import
2017-02-27,Tomate,292,import
2017-02-28,Lait,-680,export
2017-02-28,Courgette,-290,export
2017-03-01,Banane,614,import
2017-03-01,Courgette,-18,loss
2017-03-01,Banane,384,import
2017-03-02,Pomme,1,adjustment
2017-03-03,Banane,-685,export
2017-03-04,Courgette,-11,loss
2017-03-06,Courgette,589,import
2017-03-06,Pomme,45,adjustment
2017-03-07,Lait,660,import
2017-03-07,Pomme,601,import
2017-03-09,Courgette,573,import
2017-03-09,Banane,-443,export
2017-03-09,Courgette,527,import
2017-03-10,Courgette,462,import
2017-03-13,Pomme,465,import
2017-03-14,Pomme,645,import
2017-03-15,Courgette,50,adjustment
2017-03-16,Lait,319,import
2017-03-16,Courgette,525,import
2017-03-17,Pomme,70,adjustment
2017-03-18,Lait,664,import
2017-03-18,Banane,485,import
2017-03-18,Banane,461,import
2017-03-19,Courgette,591,import
2017-03-19,Banane,-15,loss
2017-03-19,Courgette,-605,export
2017-03-19,Lait,500,import
2017-03-21,Pomme,213,import
2017-03-21,Courgette,-621,export
2017-03-21,Lait,-547,export
2017-03-21,Pomme,-497,export
2017-03-21,Pomme,59,adjustment
2017-03-22,Pomme,-394,export
2017-03-22,Lait,328,import
2017-03-23,Courgette,-397,export
2017-03-23,Courgette,470,import
2017-03-25,Lait,261,import
2017-03-25,Courgette,-293,export
2017-03-26,Courgette,563,import
2017-03-26,Courgette,456,import
2017-03-26,Banane,234,import
2017-03-26,Pomme,625,import
2017-03-27,Courgette,-286,export
2017-03-27,Pomme,209,import
2017-03-27,Pomme,391,import
2017-03-28,Pomme,-445,export
2017-03-28,Pomme,-14,adjustment
2017-03-28,Pomme,670,import
2017-03-29,Courgette,681,import
2017-03-30,Banane,282,import
2017-04-02,Banane,436,import
2017-04-04,Banane,-6,loss
2017-04-04,Pomme,438,import
2017-04-06,Pomme,-223,export
2017-04-07,Banane,-590,export
2017-04-07,Lait,548,import
2017-04-07,Pomme,-30,loss
2017-04-07,Banane,406,import
2017-04-07,Lait,-686,export
2017-04-08,Pomme,596,import
2017-04-09,Pomme,-295,export
2017-04-10,Banane,564,import
2017-04-10,Lait,-664,export
2017-04-11,Courgette,-564,export
2017-04-12,Banane,591,import
2017-04-12,Banane,-349,export
2017-04-12,Pomme,-331,export
2017-04-12,Banane,22,adjustment
2017-04-13,Courgette,365,import
2017-04-14,Pomme,-338,export
2017-04-17,Lait,-330,export
2017-04-17,Courgette,652,import
2017-04-17,Lait,621,import
2017-04-18,Courgette,593,import
2017-04-20,Pomme,577,import
2017-04-20,Banane,537,import
2017-04-21,Banane,-30,loss
2017-04-21,Banane,344,import
